Timestamp, Total Response Time, # Samples, # Errors
1437362622061,144,1,0
1437362632078,33412,249,0
1437362642111,76456,958,0
1437362652193,175803,886,0
1437362662221,228396,1434,1
1437362672229,279470,1971,0
1437362682239,328666,2488,0
1437362692273,386230,3126,1
1437362702298,436677,3611,0
1437362712318,505803,3961,0
1437362722424,584606,4294,0
1437362732463,707971,3934,0
1437362742485,768097,4502,0
1437362752498,863488,4421,0
1437362762503,974636,4136,5
1437362772597,1040581,4190,4
1437362782609,1261912,3635,21
1437362792717,1267674,3904,4
1437362802819,1436610,3386,51
1437362812919,1468341,4544,39
1437362823018,1553012,4584,37
1437362833080,1621799,4526,64
1437362843096,1736690,4516,76
1437362853212,1804179,4662,89
1437362863230,1844636,5168,175
1437362873278,1945431,5034,190
1437362883349,2012008,5319,179
1437362893393,2121622,5291,240
1437362903401,2171218,5419,191
1437362913411,2339904,5348,263
1437362921211,2098362,4417,214
